country,wine_type,price_dollars,ratings_points
US,Cabernet Sauvignon,235,96
Spain,Tinta de Toro,110,96
US,Sauvignon Blanc,90,96
US,Pinot Noir,65,96
France,Provence red blend,66,95
Spain,Tinta de Toro,73,95
Spain,Tinta de Toro,65,95
Spain,Tinta de Toro,110,95
US,Pinot Noir,65,95
US,Pinot Noir,60,95
Italy,Friulano,80,95
US,Pinot Noir,48,95
US,Pinot Noir,48,95
France,Tannat,90,95
US,Pinot Noir,185,95
US,Chardonnay,90,95
US,Cabernet Sauvignon,325,95
Spain,Tempranillo,80,95
France,Malbec,290,95
US,Pinot Noir,75,95
US,RosÃ©,24,95
Spain,Tempranillo Blend,79,95
Spain,Tinta de Toro,220,95
US,Chardonnay,60,95
US,Pinot Noir,45,95
New Zealand,Chardonnay,57,94
US,Pinot Noir,62,94
US,Pinot Noir,105,94
US,Pinot Noir,60,94
US,Syrah,60,94
Bulgaria,Mavrud,15,90
US,Chardonnay,37,90
France,Sparkling Blend,22,90
US,Chardonnay,42,90
Italy,Sangiovese,135,90
Italy,Red Blend,29,90
Spain,MencÃ­a,17,90
Spain,Palomino,26,90
US,Petite Sirah,55,90
Italy,Red Blend,39,90
France,Syrah,69,90
Italy,Red Blend,30,90
Italy,Sangiovese,90,90
US,Cabernet Sauvignon,60,90
Italy,Sangiovese,100,90
France,Sauvignon Blanc,42,90
France,Pinot Noir,28,90
US,Cabernet Sauvignon,69,90
US,Riesling,25,90
US,Cabernet Sauvignon-Syrah,30,90
Italy,Red Blend,60,90
Argentina,Malbec,30,91
Argentina,Malbec,25,91
France,Chardonnay,45,91
US,Syrah,36,91
France,Chardonnay,38,91
US,Cabernet Sauvignon,85,91
US,Pinot Noir,50,91
US,Cabernet Sauvignon,60,91
US,Cabernet Sauvignon,85,91
Portugal,Portuguese Red,15,91
US,Pinot Noir,54,91
France,Chardonnay,85,91
US,Sauvignon Blanc,38,91
Italy,Nebbiolo,75,91
US,Pinot Noir,42,91
Israel,Cabernet Sauvignon,25,91
Italy,Nebbiolo,59,91
Italy,Nebbiolo,85,91
Italy,Nebbiolo,80,91
France,Chardonnay,45,91
US,Pinot Noir,65,91
US,Meritage,50,91
Portugal,Baga,12,86
Italy,Glera,22,86
US,Chardonnay,13,86
Portugal,Portuguese Red,10,86
France,Malbec-Merlot,14,86
France,Merlot-Malbec,15,86
France,Ugni Blanc-Colombard,10,86
US,Cabernet Sauvignon,50,86
US,Cabernet Sauvignon-Cabernet Franc,48,86
US,Moscato,20,86
US,Pinot Grigio,17,86
US,Chardonnay,45,86
Portugal,Portuguese Red,12,86
Argentina,RosÃ©,12,86
US,Cabernet Sauvignon,125,86
US,Riesling,25,86
South Africa,Sauvignon Blanc,20,86
Argentina,Malbec,15,86
France,Gamay,15,86
Portugal,Portuguese Red,7,86
US,Pinot Noir,59,91
US,Pinot Noir,49,91
US,Sparkling Blend,42,91
US,Chardonnay,93,91
US,Pinot Noir,32,91
US,Zinfandel,100,90
US,Cabernet Sauvignon,50,90
Spain,Tempranillo,22,90
Italy,White Blend,45,90
US,Barbera,26,90
US,Cabernet Sauvignon,30,90
US,Grenache,42,90
US,Zinfandel,38,90
US,RhÃ´ne-style Red Blend,48,90
Spain,Tempranillo,17,90
France,RosÃ©,18,90
US,Sauvignon Blanc,28,90
US,Grenache,25,90
US,AlbariÃ±o,24,90
US,Zinfandel,36,90
Greece,White Blend,24,89
Spain,Sparkling Blend,17,89
Greece,Malagouzia,18,89
Chile,CarmenÃ¨re,20,89
Spain,Tempranillo,44,89
Chile,Red Blend,19,89
US,Bordeaux-style Red Blend,42,89
Spain,Tempranillo Blend,44,89
US,Viognier,23,89
US,Pinot Noir,36,89
Italy,Red Blend,25,89
Italy,Red Blend,22,89
US,Chardonnay,25,89
Chile,Cabernet Sauvignon-Cabernet Franc,30,89
US,Pinot Noir,49,89
France,RhÃ´ne-style Red Blend,16,89
Spain,Tinta de Toro,30,89
Italy,Sangiovese,40,89
Italy,Red Blend,57,89
US,Cabernet Sauvignon,29,89
Chile,Red Blend,61,89
US,Syrah,25,88
US,Pinot Noir,49,88
US,Picpoul,20,88
Argentina,Bordeaux-style Red Blend,26,88
US,Bordeaux-style Red Blend,34,88
US,Zinfandel,38,88
Spain,Godello,25,88
Spain,Red Blend,22,87
Argentina,Malbec,15,87
US,Malbec,18,87
US,Chardonnay,18,87
US,Riesling,14,87
US,Riesling,14,87
US,Cabernet Franc,40,87
US,Grenache,32,87
Spain,Sparkling Blend,18,87
Portugal,Portuguese Red,55,93
Italy,Nebbiolo,49,93
US,Zinfandel,50,93
Italy,Nebbiolo,58,93
France,Riesling,39,93
France,Riesling,65,93
Morocco,Syrah-Grenache,35,93
France,Riesling,42,93
France,Riesling,61,93
US,G-S-M,58,93
US,MourvÃ¨dre,38,93
France,Riesling,48,93
US,Zinfandel,50,93
Italy,Nebbiolo,58,93
US,Syrah,50,93
US,Cabernet Sauvignon,80,93
US,Syrah,40,93
Portugal,Portuguese Red,41,93
US,Cabernet Sauvignon,48,93
US,Cabernet Sauvignon,200,93
US,Petit Verdot,39,93
US,Cabernet Sauvignon,62,93
France,Riesling,35,92
France,Riesling,48,92
France,Riesling,55,92
Portugal,Portuguese Red,40,92
Italy,Nebbiolo,69,92
US,Pinot Noir,36,88
Romania,RosÃ©,9,88
US,Chardonnay,24,88
US,RhÃ´ne-style White Blend,30,88
US,Pinot Noir,60,88
US,Pinot Noir,54,88
US,Muscat,15,88
Italy,Nebbiolo,56,88
US,Sauvignon Blanc,20,88
US,Pinot Noir,61,88
Spain,Tempranillo,30,88
Spain,Tempranillo Blend,17,88
US,Cabernet Sauvignon-Merlot,40,88
US,Red Blend,39,88
Italy,Nebbiolo,49,88
France,Sauvignon Blanc,23,88
US,MourvÃ¨dre,32,88
Argentina,Cabernet Sauvignon,15,88
France,Pinot Noir,92,92
France,Chardonnay,94,92
US,Chardonnay,58,92
US,RhÃ´ne-style Red Blend,50,92
US,Sparkling Blend,48,92
Italy,Pinot Bianco,27,92
Portugal,Alvarinho,35,92
Portugal,Portuguese White,95,92
US,Pinot Noir,43,92
Italy,Garganega,33,92
Italy,Sauvignon,60,92
France,Bordeaux-style Red Blend,30,92
US,Cabernet Sauvignon,100,92
US,Syrah,35,92
France,Chardonnay,60,91
France,Bordeaux-style Red Blend,16,91
France,Chardonnay,40,91
US,Pinot Noir,60,91
US,Syrah,42,91
US,Pinot Noir,20,91
Italy,Sauvignon,25,91
Italy,Pinot Grigio,23,91
US,Pinot Noir,38,91
US,Zinfandel,32,91
US,Riesling,30,94
Italy,Red Blend,85,94
US,Riesling,30,94
US,Pinot Noir,65,94
US,Pinot Noir,90,94
US,Pinot Noir,85,94
US,Pinot Noir,70,94
US,Pinot Noir,70,94
US,Pinot Noir,60,94
Italy,Garganega,38,94
Italy,Garganega,29,94
US,Cabernet Sauvignon,155,94
US,Pinot Noir,48,94
