country,designation,points,price,province,variety,winery
US,Martha's Vineyard,96,235.0,California,Cabernet Sauvignon,Heitz
Spain,Carodorum SelecciÃ³n Especial Reserva,96,110.0,Northern Spain,Tinta de Toro,Bodega Carmen RodrÃ­guez
US,Special Selected Late Harvest,96,90.0,California,Sauvignon Blanc,Macauley
US,Reserve,96,65.0,Oregon,Pinot Noir,Ponzi
France,La BrÃ»lade,95,66.0,Provence,Provence red blend,Domaine de la BÃ©gude
Spain,Numanthia,95,73.0,Northern Spain,Tinta de Toro,Numanthia
Spain,San RomÃ¡n,95,65.0,Northern Spain,Tinta de Toro,Maurodos
Spain,Carodorum Ãnico Crianza,95,110.0,Northern Spain,Tinta de Toro,Bodega Carmen RodrÃ­guez
US,Silice,95,65.0,Oregon,Pinot Noir,BergstrÃ¶m
US,Gap's Crown Vineyard,95,60.0,California,Pinot Noir,Blue Farm
Italy,Ronco della Chiesa,95,80.0,Northeastern Italy,Friulano,Borgo del Tiglio
US,Estate Vineyard Wadensvil Block,95,48.0,Oregon,Pinot Noir,Patricia Green Cellars
US,Weber Vineyard,95,48.0,Oregon,Pinot Noir,Patricia Green Cellars
France,ChÃ¢teau Montus Prestige,95,90.0,Southwest France,Tannat,Vignobles Brumont
US,Grace Vineyard,95,185.0,Oregon,Pinot Noir,Domaine Serene
US,Sigrid,95,90.0,Oregon,Chardonnay,BergstrÃ¶m
US,Rainin Vineyard,95,325.0,California,Cabernet Sauvignon,Hall
Spain,6 AÃ±os Reserva Premium,95,80.0,Northern Spain,Tempranillo,Valduero
France,Le Pigeonnier,95,290.0,Southwest France,Malbec,ChÃ¢teau LagrÃ©zette
US,Gap's Crown Vineyard,95,75.0,California,Pinot Noir,Gary Farrell
US,Grignolino,95,24.0,California,RosÃ©,Heitz
Spain,Prado Enea Gran Reserva,95,79.0,Northern Spain,Tempranillo Blend,Muga
Spain,Termanthia,95,220.0,Northern Spain,Tinta de Toro,Numanthia
US,Giallo Solare,95,60.0,California,Chardonnay,Center of Effort
US,R-Bar-R Ranch,95,45.0,California,Pinot Noir,Comartin
New Zealand,MatÃ©'s Vineyard,94,57.0,Kumeu,Chardonnay,Kumeu River
US,Shea Vineyard,94,62.0,Oregon,Pinot Noir,BergstrÃ¶m
US,Abetina,94,105.0,Oregon,Pinot Noir,Ponzi
US,Garys' Vineyard,94,60.0,California,Pinot Noir,Roar
US,The Funk Estate,94,60.0,Washington,Syrah,Saviah
Bulgaria,BergulÃ©,90,15.0,Bulgaria,Mavrud,Villa Melnik
US,Babushka,90,37.0,California,Chardonnay,Zepaltas
France,Nonpareil TrÃ©sor RosÃ© Brut,90,22.0,France Other,Sparkling Blend,Bouvet-Ladubay
US,Conner Lee Vineyard,90,42.0,Washington,Chardonnay,Buty
Italy,Riserva,90,135.0,Tuscany,Sangiovese,Carillon
Italy,Riserva,90,29.0,Tuscany,Red Blend,Castello di Monterinaldi
Spain,Amandi,90,17.0,Galicia,MencÃ­a,Don Bernardino
Spain,Alfonso Oloroso Seco,90,26.0,Andalucia,Palomino,GonzÃ¡lez Byass
US,Private Reserve,90,55.0,Idaho,Petite Sirah,Huston
Italy,Riserva,90,39.0,Tuscany,Red Blend,Rignana
France,Coteaux,90,69.0,RhÃ´ne Valley,Syrah,Tardieu-Laurent
Italy,Vigneto Odoardo Beccari Riserva,90,30.0,Tuscany,Red Blend,Vignavecchia
Italy,Poggio alle Mura,90,90.0,Tuscany,Sangiovese,Banfi
US,Estate Grown,90,60.0,California,Cabernet Sauvignon,Brandlin
Italy,Riserva,90,100.0,Tuscany,Sangiovese,Capanne Ricci
France,Les 7 Hommes,90,42.0,Loire Valley,Sauvignon Blanc,Cherrier FrÃ¨res
France,L'InÃ©dit,90,28.0,Loire Valley,Pinot Noir,Clement et Florian Berthier
US,Four Flags,90,69.0,Washington,Cabernet Sauvignon,DeLille
US,Reserve,90,25.0,New York,Riesling,Dr. Konstantin Frank
US,Final Final,90,30.0,Washington,Cabernet Sauvignon-Syrah,Efeste
Italy,Poggio Bestiale,90,60.0,Tuscany,Red Blend,Fattoria di Magliano
Argentina,The Apple Doesn't Fall Far From The Tree,91,30.0,Mendoza Province,Malbec,Matias Riccitelli
Argentina,AlegorÃ­a Gran Reserva,91,25.0,Mendoza Province,Malbec,Navarro Correas
France,L'Homme Mort Premier Cru,91,45.0,Burgundy,Chardonnay,Domaine CheneviÃ¨res
US,Estate Select,91,36.0,California,Syrah,Jason-Stephens
France,Fourchaume Premier Cru,91,38.0,Burgundy,Chardonnay,Louis Max
US,Animo,91,85.0,California,Cabernet Sauvignon,Michael Mondavi Family Estate
US,Schindler Vineyard,91,50.0,Oregon,Pinot Noir,Panther Creek
US,Barrel Select,91,60.0,California,Cabernet Sauvignon,Provenance Vineyards
US,District Collection,91,85.0,California,Cabernet Sauvignon,Raymond
Portugal,Premium,91,15.0,Alentejo,Portuguese Red,Adega Cooperativa de Borba
US,Premier CuvÃ©e,91,54.0,Oregon,Pinot Noir,Archery Summit
France,Le Nombre d'Or Brut Nature,91,85.0,Champagne,Chardonnay,Aubry
US,Juliana Vineyard,91,38.0,California,Sauvignon Blanc,B Cellars
Italy,Boscato,91,75.0,Piedmont,Nebbiolo,Bel Colle
US,Aeolian,91,42.0,Oregon,Pinot Noir,Bethel Heights
Israel,Reserve,91,25.0,Upper Galilee,Cabernet Sauvignon,Binyamina
Italy,del Comune di Serralunga d'Alba,91,59.0,Piedmont,Nebbiolo,Cascina Cucco
Italy,Bricco Luciani,91,85.0,Piedmont,Nebbiolo,Cascina del Monastero
Italy,Bricco Gattera,91,80.0,Piedmont,Nebbiolo,Cordero di Montezemolo
France,Montmains Premier Cru,91,45.0,Burgundy,Chardonnay,Domaine GÃ©rard Duplessis
US,Bacigalupi Vineyard,91,65.0,California,Pinot Noir,Eleven Eleven
US,Magnificat,91,50.0,California,Meritage,Franciscan
Portugal,MarquÃªs de Marialva RosÃ© Bruto,86,12.0,Beira Atlantico,Baga,Adega de Cantanhede
Italy,Nature,86,22.0,Veneto,Glera,De Stefani
US,Small Lot Blend,86,13.0,California,Chardonnay,Parducci
Portugal,Muros de Vinha,86,10.0,Douro,Portuguese Red,Quinta do Portal
France,ChÃ¢teau Beauvillain-Monpezat,86,14.0,Southwest France,Malbec-Merlot,Rigal
France,Pigmentum,86,15.0,Southwest France,Merlot-Malbec,Georges Vigouroux
France,Pigmentum,86,10.0,Southwest France,Ugni Blanc-Colombard,Georges Vigouroux
