country,description,designation,points,price,province,region_1,region_2,variety,winery
Australia,"
                      This wine offers warming aromas of baking spice, cherry, chocolate brownies, ripe plums and some leafy notes. The palate is well-balanced by savory, chalky tannins.                      ",Angel's Share,90,29.0,South Australia,McLaren Vale,,Shiraz,Two Hands
US,"
                      Richness of flavor and an especially creamy, melting texture help this wine stand out in a crowd. The wine is 80% barrel fermented and aged on the lees. It has concentrated and ripe pear, peach and apple flavors and a silky mouthfeel.                      ",Arlene,90,40.0,California,Suisun Valley,North Coast,Chardonnay,Vezer Family Vineyard
Italy,"
                      Wild berry, dark spice, new leather and truffle aromas take center stage along with a whiff of violet. The linear medium-bodied palate is on the racy side, offering cranberry, star anise and crushed herb alongside tight, close-grained tannins and vibrant acidity. Drink 2019–2026.                      ",Buon Padre,90,55.0,Piedmont,Barolo,,Nebbiolo,Viberti
US,"
                      There's a dried fennel note that shows on many Temecula Valley wines, but this blend of 48% Grenache, 34% Syrah and 18% Mourvèdre uses that spice note to its advantage. Plump red-plum and hickory-smoke aromas touch on that anise-like note on the nose, while the palate shows cherry wood, elegant red-fruit and roasted fennel-bulb flavors.                      ",Family Reserve,90,50.0,California,Temecula Valley,South Coast,G-S-M,Wilson Creek
US,"
                      This medium-bodied white brings a stony mineral texture, with fleshy flavors of guava and mango. It offers complexity and nuance against a full embrace of ripeness.                      ",,90,35.0,California,Napa Valley,Napa,Sauvignon Blanc,Ziata
Spain,"
                      Fine oak helps an otherwise ripe and earthy nose. A rich saturated palate ranks as syrupy, while this Tempranillo-led blend tastes of coconut, chocolate mint and blackberry jam. While thick and stout throughout, this off-vintage wine always seems a bit flat. Drink through 2021.                      ",Baron de Chirel Reserva,90,70.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Riscal
US,"
                      A smoky sage-like aroma and fruit flavors tinged with earthy, woody accents make this full-bodied wine a bit of a wild card, but an enjoyable one.                      ",,87,25.0,California,El Dorado,Sierra Foothills,Barbera,Lava Cap
New Zealand,"
                      Slightly off-dry in style, this offers heady aromas of waxy lemon, nectarine, flower blossoms and a touch of honey. The residual sugar is subtle, adding more in the way of ripe fruitiness and texture than overt sweetness.                      ",,87,19.0,Marlborough,,,Pinot Gris,Lawson's Dry Hills
France,"
                      Juicy red-berry fruits are evident in this softly textured wine. Juicy acidity and tannins give it both structure and aging potential. Drink this generous wine from 2021.                      ",,87,12.0,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Michel Lynch
US,"
                      Blended with just over 9% Syrah and a touch of Zinfandel, this is a thick, densely structured red, offering flavors of mocha, cherry and plum. The secondary aspects dive into herbal territory, a mix of dried herb, cedar and pencil shavings.                      ",,87,23.0,California,Napa Valley,Napa,Merlot,Oberon
US,"
                      Aromas of white flower open the door to integrated acidity and a grainy texture in this nicely made white from the cool-climate site. Tangerine and lime speak loudest on the palate.                      ",Las Brisas Vineyard,87,28.0,California,Carneros,Napa-Sonoma,Vermentino,Portalupi
Spain,"
                      Some funk on the nose blends with aromas of scrambled eggs and arugula. A tangy palate is in accordance with blanc de blancs norms, while this tastes grassy and like lime in front of a finish that tastes like fresh lettuce.                      ",Conca del Riu Anonia Blanc de Blanc,87,20.0,Catalonia,Penedès,,Sparkling Blend,Raventós I Blanc
US,"
                      Blended with 25% Malbec, this wine leads with dominant barrel notes, its vanilla, incense, anise, wood and baking spice aromas accenting fruit leather scents. The palate is lighter styled, with dried-out fruit flavors. A meat- and medicine cabinet-laced finish caps it off.                      ",Les Gosses Vineyard,87,50.0,Washington,Red Mountain,Columbia Valley,Syrah,Obelisco Estate
US,"
                      Nearly red in color, this wine is robust on the nose in earthy brambly berry that becomes pie-like in richness and girth. The generosity of fruit is laced in lemon zest.                      ",Signature Selection Dry Rosé of,87,17.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pedroncelli
Portugal,"
                      This soft, wood-aged wine is spicy, ripe with smoky red fruit and finished with juicy acidity. It's aromatic, with fine fruitiness and some still-youthful tannins. Drink now.                      ",Lago Cerqueira,87,11.0,Douro,,,Portuguese Red,Quinta da Calçada
Portugal,"
                      This classic, dry Vinho Verde is full of lively fruitiness and crisp acidity. It strikes a balance between citrus and apple flavors, making it clean, poised and enjoyable.                      ",Escolha,87,11.0,Vinho Verde,,,Portuguese White,Quinta da Lixa
US,"
                      This includes 25% mixed blacks, all old-vine—a study in compost earthiness and baked blueberry. Full bodied and quite ripe, it has a smokiness to the oak that contrasts against the fruit and dust.                      ",Belloni,87,39.0,California,Russian River Valley,Sonoma,Zinfandel,Ravenswood
France,"
                      Notes of ripe, green pear are subdued on the nose. They are more impressive on the palate where a little residual sweetness boosts them. Lemony freshness balances and creates an off-dry finish.                      ",Harth,87,23.0,Alsace,Alsace,,Pinot Gris,Robert Karcher et Fils
US,"
                      This is a gorgeous wine made in minuscule amounts, fermented in both stainless steel and one-third new French oak before aging in neutral French oak. The subtle touches give it a chance to speak softly in lemony quince, with a steely nose of jasmine. Fleshy and full bodied without being heavy, it has a succulence of apple skin on the midpalate.                      ",Ambassador's 1953 Vineyard,94,130.0,California,Sonoma Valley,Sonoma,Chardonnay,Hanzell
US,"
                      Stainless-steel fermented and aged in neutral French oak, this well-made wine offers crisp acidity and supportive oak, with highlights of fennel, green apple and wet stone. Its grainy texture is layered and complex while also being deliciously drinkable now.                      ",Sebella,94,36.0,California,Sonoma County,Sonoma,Chardonnay,Hanzell
US,"
                      This is a finely made wine, with tones of herbs, smoked black cherry and blackberry. Thick, velvety smooth and concentrated, it finds its balance in high-toned, underlying acidity and sparks of cardamom and black tea.                      ",Pillow Road Vineyard,94,50.0,California,Russian River Valley,Sonoma,Pinot Noir,Ladera
US,"
                      Lively aromas of smashed black currants, caramelized berries, lilacs and açai make for a very inviting and pretty nose on this bottling. The palate is vivid with smoke, blueberry paste, violets, lavender and a savory charred component, finishing with a kiss of vanilla.                      ",Reserve,94,72.0,California,Ballard Canyon,Central Coast,Syrah,Larner
US,"
                      This refreshing wine is a blend of 62% Syrah and 38% Grenache. It quenches in notes of strawberry, peach and a hint of gaminess. Velvety smooth and dangerously easy to enjoy, it's light and brightly layered in acidity.                      ",Estate,94,24.0,California,Russian River Valley,Sonoma,Rosé,Limerick Lane
France,"
                      There are already indications of fine maturity in this wine. Yeast and toasty flavors mingle with the crisp acidity and ripe stewed apricots and apple to give richness. It also has the nervy acidity that is typical of Alfred Gratien Champagnes, which will allow the wine to age further.                      ",Brut Millésimé,94,90.0,Champagne,Champagne,,Champagne Blend,Alfred Gratien
